Disease,Description
Hepatitis B,"Hepatitis B adalah infeksi pada hati. Penyakit ini dapat menyebabkan jaringan parut pada organ tersebut, gagal hati, dan kanker. Jika tidak diobati, penyakit ini dapat berakibat fatal. Penularannya terjadi ketika orang melakukan kontak dengan darah, luka terbuka, atau cairan tubuh seseorang yang terinfeksi virus hepatitis B."
Fungal infection,"Pada manusia, infeksi jamur terjadi ketika jamur yang menyerang menguasai suatu area tubuh dan tidak mampu ditangani oleh sistem kekebalan tubuh. Jamur dapat hidup di udara, tanah, air, dan tumbuhan. Ada juga beberapa jamur yang hidup secara alami di dalam tubuh manusia. Seperti banyak mikroba lainnya, ada jamur yang bermanfaat dan jamur yang berbahaya."
Hepatitis C,"Peradangan hati akibat virus hepatitis C (HCV), yang biasanya menyebar melalui transfusi darah (jarang terjadi), hemodialisis, dan tertusuk jarum. Kerusakan yang ditimbulkan hepatitis C pada hati dapat menyebabkan sirosis dan komplikasinya, serta kanker."
Migraine,"Migrain dapat menyebabkan nyeri berdenyut hebat atau sensasi berdenyut, biasanya di satu sisi kepala. Sering disertai mual, muntah, dan sensitivitas ekstrem terhadap cahaya dan suara. Serangan migrain dapat berlangsung selama berjam-jam hingga berhari-hari, dan rasa sakitnya bisa sangat parah sehingga mengganggu aktivitas sehari-hari."
Bronchial Asthma,"Asma bronkial adalah kondisi medis yang menyebabkan saluran udara di paru-paru membengkak dan menyempit. Akibat pembengkakan ini, saluran udara menghasilkan lendir berlebih sehingga sulit bernapas, yang mengakibatkan batuk, sesak napas, dan mengi. Penyakit ini bersifat kronis dan mengganggu aktivitas sehari-hari."
Alcoholic hepatitis,"Hepatitis alkoholik adalah penyakit peradangan hati yang disebabkan oleh konsumsi alkohol berlebihan dalam jangka waktu lama. Kondisi ini juga diperburuk oleh minum alkohol secara terus-menerus dan penggunaan alkohol yang berkelanjutan. Jika Anda mengalami kondisi ini, Anda harus berhenti minum alkohol."
Jaundice,"Penyakit kuning berupa perubahan warna pada kulit dan sklera (bagian putih mata) akibat kadar pigmen empedu bilirubin yang tinggi dalam darah. Perubahan warna kuning ini meluas ke jaringan dan cairan tubuh lainnya. Penyakit kuning dulunya disebut ""morbus regius"" (penyakit kerajaan) karena kepercayaan bahwa hanya sentuhan seorang raja yang dapat menyembuhkannya."
Hepatitis E,Suatu bentuk peradangan hati yang langka yang disebabkan oleh infeksi virus hepatitis E (HEV). Penyakit ini ditularkan melalui makanan atau minuman yang ditangani oleh orang yang terinfeksi atau melalui pasokan air yang terinfeksi di daerah di mana tinja dapat masuk ke dalam air. Hepatitis E tidak menyebabkan penyakit hati kronis.
Dengue,"Suatu penyakit menular akut yang disebabkan oleh flavivirus (spesies virus Dengue dari genus Flavivirus), ditularkan oleh nyamuk Aedes, dan ditandai dengan sakit kepala, nyeri sendi yang parah, dan ruam. disebut juga demam patah tulang, demam dengue."
Hepatitis D,"Hepatitis D, juga dikenal sebagai virus hepatitis delta, adalah infeksi yang menyebabkan peradangan pada hati. Pembengkakan ini dapat mengganggu fungsi hati dan menyebabkan masalah hati jangka panjang, termasuk jaringan parut hati dan kanker. Kondisi ini disebabkan oleh virus hepatitis D (HDV)."
Heart attack,"Kematian otot jantung akibat hilangnya suplai darah. Hilangnya suplai darah biasanya disebabkan oleh penyumbatan total pada arteri koroner, salah satu arteri yang memasok darah ke otot jantung."
Pneumonia,"Pneumonia adalah infeksi pada satu atau kedua paru-paru. Bakteri, virus, dan jamur dapat menyebabkannya. Infeksi tersebut menyebabkan peradangan pada kantung udara di paru-paru Anda, yang disebut alveoli. Alveoli terisi cairan atau nanah, sehingga sulit bernapas."
Arthritis,"Artritis adalah pembengkakan dan nyeri tekan pada satu atau lebih persendian Anda. Gejala utama artritis adalah nyeri dan kekakuan sendi, yang biasanya memburuk seiring bertambahnya usia. Jenis artritis yang paling umum adalah osteoartritis dan artritis reumatoid."
Gastroenteritis,"Gastroenteritis adalah peradangan pada saluran pencernaan, khususnya lambung, usus besar, dan usus kecil. Gastroenteritis virus dan bakteri adalah infeksi usus yang dikaitkan dengan gejala diare, kram perut, mual, dan muntah."
Tuberculosis,"Tuberkulosis (TB) adalah penyakit menular yang biasanya disebabkan oleh bakteri Mycobacterium tuberculosis (MTB). Tuberkulosis umumnya menyerang paru-paru, tetapi juga dapat menyerang bagian tubuh lainnya. Sebagian besar infeksi tidak menunjukkan gejala, dalam hal ini dikenal sebagai tuberkulosis laten."
